human_gene	chicken_gene
SEC14L2	SEC14L3
SEC14L2	SEC14L2
MACROD2	MACROD2
OXGR1	OXGR1
PIGP	PIGP
JADE3	JADE3
L3MBTL1	L3MBTL1
STOML3	STOML3
GPR12	GPR12
GGACT	GGACT
MAGEH1	NSMCE3
CPB2	CPB2
HEMK2	N6AMT1
GSC2	GSC2
FGF16	FGF16
RSPH14	RSPH14
TIAM1	TIAM1
ARL13A	ARL13A
EIF3L	EIF3L
BRWD3	BRWD3
NANP	NANP
DNAJC15	DNAJC15
EDA	EDA
KLF12	KLF12
PLCB1	PLCB1
CRYL1	CRYL1
MAGEE1	NSMCE3
RGCC	RGCC
TCF20	TCF20
F7	F7
SYCE3	SYCE3
MAGEE2	NSMCE3
XK	XK
ARHGAP6	ARHGAP6
H1-0	H-10
CLDN5	CLDN5
C21orf91	C21orf91
PPM1F	PPM1F
LMO7	LMO7
CCNB3	CCNB3
CFAP298	C21orf59
POU3F4	POU3F4
RIPPLY1	RIPPLY1
TSHZ2	TSHZ2
ZNF217	ZNF217
DCAF8L1	DCAF8
SPIN4	SPIN1
SPIN4	SPIN1L
SHISA8	SHISA8
PTPRT	PTPRT
MAGEC2	NSMCE3
CRYBB3	CRYBB3
SELENOO	SELENOO
TTC28	CHEK2
BRS3	BRS3
PANK2	PANK2
ASB12	ASB12
GSTT4	GSTT1
AMER1	AMER1
PRDM15	PRDM15
BPIFC	BPIFCB
ADM2	ADM2
CMC4	CMC4
MIRLET7A3	gga-let-7k
MAGEA8	NSMCE3
PIWIL3	PIWIL1
MAGEA11	NSMCE3
WFDC6	SPINT1
TMEM121B	CECR6
GPR50	GPR50
IL17REL	IL17REL
PASD1	PASD1
PPP1R3D	PPP1R3D
KCNK15	KCNK15
RIMS4	RIMS4
LRRC74B	C14ORF166B
PDYN	PDYN
IGLV3-32	IGLL1
GGTLC2	GGT2
AFF2	AFF2
IGLV3-27	IGLL1
IGLV3-25	IGLL1
IGLV3-22	IGLL1
IGLV3-19	IGLL1
IGLV3-16	IGLL1
BMP7	BMP7
SLC35E4	SLC35E4
MCHR1	MCHR1
GLUD2	GLUD2
DDX17	DDX17
SOD1	SOD1
TMC2	TMC2
RAB39B	RAB39B
SNORD57	SNORD57
CEBPB	CEBPB
ALOX5AP	ALOX5AP
RWDD2B	RWDD2B
LGALS2	LGALS2
CCNA1	CCNA1
HUNK	HUNK
MIR223	gga-mir-223
MRTFA	MKL1
SUMO3	SUMO3
RNU6-3P	U6
USPL1	USPL1
ZBTB21	ZBTB21
SKOR2	SKOR2
OPN1LW	OPN1LW
RSPH1	RSPH1
CKAP2	CKAP2
OPN1MW	OPN1LW
RNU1-142P	U1
PDE9A	PDE9A
TBX1	TBX1
SLC25A15	SLC25A15
MSL3	MSL3
COLEC12	COLEC12
PITPNB	PITPNB
DSG2	DSG2
DOCK9	DOCK9
MN1	MN1
GSTT2	GSTT1
IGLV3-10	IGLL1
IGLV3-9	IGLL1
IGLV3-1	IGLL1
TTR	TTR
DSC2	DSC1
CLDN10	CLDN10
EEF1AKMT1	EEF1AKMT1
PROZ	PROZ
VPREB3	VPREB3
RIBC2	RIBC1
PDXP	PDXP
SELENOM	SELENOM
TLR7	TLR7
SEPTIN3	SEPTIN3
F8A3	F8A3
RAB20	RAB20
CUL4A	CUL4A
SYN3	SYN3
NALF2	FAM155B
ATXN10	ATXN10
WNT7B	WNT7B
PIGA	PIGA
PIAS2	PIAS2
MOV10L1	MOV10L1
FLT1	FLT1
SERPINB5	SERPINB5
CXorf65	CXorf65
FAM83F	FAM83F
NOL4	NOL4L
SHANK3	SHANK3
MIR98	gga-let-7f
MIR98	gga-let-7b
MIRLET7F2	gga-let-7a-1
NEXMIF	KIAA2022
DUSP21	DUSP21
PRR5	PRR5
PRPS1	PRPS1L1
SETBP1	SETBP1
CACNA1F	CACNA1F
FBXO15	FBXO15
ATP7B	ATP7B
KCTD1	KCTD1
RNU6-338P	U6
DOK6	DOK6
TTLL12	TTLL12
INPP5J	INPP5J
ZNF521	ZNF521
ATRX	ATRX
SEC11C	SEC11C
HSBP1L1	HSBP1L1
ANKRD30B	ANKRD26
ZFYVE19	ZFYVE19
AQP4	AQP4
SGCZ	SGCZ
STC1	STC1
UNC5D	UNC5D
C15orf62	C15orf62
GABRG3	GABRG3
PRTG	PRTG
VSIG1	VSIG1
TNMD	TNMD
XKR3	XKRX
DPYSL2	DPYSL2
ARHGAP36	ARHGAP36
KIAA1328	KIAA1328
NXF2	NXF1
FRMD5	FRMD5
ATP12A	ATP12A
MRPL57	MRPL57
INTS6	INTS6
SLC25A37	SLC25A37
PCYT1B	PCYT1B
MBOAT4	MBOAT4
NPTXR	NPTXR
DOCK5	DOCK5
ARX	ARX
MTCL1	MTCL1
WASH6P	WASHC1
HERC1	HERC1
LPIN2	LPIN2
LEPROTL1	LEPROTL1
TEX11	TEX11
GTF2F2	GTF2F2
ADRA1A	ADRA1A
SKOR1	SKOR1
NKX3-1	NKX3-1
NUDT15	NUDT15
KLHL14	KLHL14
PAN3	PAN3
FOXB1	FOXB1
TPGS2	TPGS2
GCHFR	GCHFR
KIF13B	KIF13B
BCORL1	BCORL1
REC114	REC114
IRS4	IRS4
POFUT2	POFUT2
SASH3	SASH3
FEM1B	FEM1B
DCLK1	DCLK1
HCN4	HCN4
SRPX2	SRPX2
CPLX3	CPLX3
GOLGA6A	GOLGA2
R3HCC1	R3HCC1
FBXL3	FBXL3
CCBE1	CCBE1
RNF113A	RNF113B
FTHL17	FTL
OBI1	RNF219
NETO1	NETO1
HYKK	PSMA4
CNMD	LECT1
CSTB	CSTB
MAGEB18	NSMCE3
MAGEB6	NSMCE3
MAGEB5	NSMCE3
ZFHX4	ZFHX4
GATD3	GATD3A
LARP6	LARP6
MAGEA9	NSMCE3
RNMT	RNMT
RORA	RORA
HNF4G	HNF4G
SMIM10L2B	SMIM10L1
DGKH	DGKH
SMIM10L2A	SMIM10L1
F8A1	F8A3
BRWD1	BRWD1
MMP16	MMP16
KCNE5	KCNE5
F8A2	F8A3
PGAM4	PGAM1
SLC25A14	SLC25A14
RTTN	RTTN
IGF1R	IGF1R
SLC7A13	CGTL
SLC7A13	LACAAT2L
SLC7A13	SLC7A7
CA13	CA13
FSBP	FSBP
MCF2L	MCF2L
RALYL	RALYL
CEP152	CEP152
KCNV1	KCNV1
CHRNB3	CHRNB3
PHEX	PHEX
KCNS2	KCNS2
PDXK	PDXK
SIX6	SIX6
MAGEB2	NSMCE3
SIX4	SIX5
MAGEB4	NSMCE3
FBXO43	FBXO43
GABRE	GABRE
RNU6-1	U6
NCALD	NCALD
PCNX1	PCNX1
FRMPD3	FRMPD3
TYMS	TYMS
TMEM35A	TMEM35A
SAT1	SAT1
STARD8	STARD8
ODF1	ODF1
CYB5A	CYB5A
MAGEB3	NSMCE3
OPN1MW2	OPN1LW
B3GALT5	B3GALT5
GPHB5	GPHB5
KCNB2	KCNB2
KCNH5	KCNH5
TTC39C	TTC39C
AMOT	AMOT
USP25	USP25
SKA3	SKA3
SPTSSA	SPTSSA
SLC35F4	SLC35F4
METTL4	METTL4
PDS5B	PDS5B
GOLGA8O	GOLGA2
CLEC14A	CLEC14A
TG	TG
NKX2-4	NKX2-4
RGS6	RGS6
SNORA63	SNORA63
NKX2-2	NKX2-2
PCDH11X	PCDH11X
RCL1	RCL1
SNX33	SNX33
SNAI1	SNAI1
F9	F9
BRD10	KIAA2026
HAUS1	HAUS1
LURAP1L	LURAP1L
FMR1NB	FMR1NB
MAGEA10	NSMCE3
PAX5	PAX5
CD93	CD93
FRMD7	FRMD7
SLURP1	HEP21
PROSER1	PROSER1
MXRA5	MXRA5
CSMD3	CSMD3
RBBP8	RBBP8
CDK8	CDK8
NDUFV3	NDUFV3
KCNE1	KCNE1
NHS	NHS
VPS26C	DSCR3
TMEM185A	TMEM185B
DACH2	DACH2
CCDC85C	CCDC85C
SNTB1	SNTB1
ATXN3L	ATXN3
IMPA2	IMPA2
ARHGEF7	ARHGEF7
BRCC3	BRCC3
DOP1B	DOP1B
HAS2	HAS2
MIR383	gga-mir-383
RNU4-71P	U4
RNU1-101P	U1
CNGA2	CNGA2
MIR124-2	gga-mir-124a-2
B4GALT6	B4GALT6
SHOX	SHOX
CLBA1	CLBA1
SNORA72	SNORA72
CHIC1	CHIC1
SLC28A3	SLC28A3
RNU4-37P	U4
NPBWR1	NPBWR1
HAPSTR2	C16orf72
AHNAK2	AHNAK2
CCN4	WISP1
TRAPPC8	TRAPPC8
TYRP1	TYRP1
PI15	PI15
ATP7A	ATP7A
GNA14	GNA14
TSPEAR	TSPEAR
GRIN3A	GRIN3A
SLX9	FAM207A
BARX1	BARX1
SNORD54	SNORD54
MOS	MOS
TCL1A	MTCP1
CXADR	TSTD1
NDRG1	NDRG1
VPS13A	VPS13A
SALL3	SALL3
TGIF1	TGIF1
MRPS31	MRPS31
RS1	RS1
SUPT20HL1	SUPT20H
GLOD5	GLOD5
SUPT20HL2	SUPT20H
RNASE2	RNASE6
RNASE2	RSFR
STARD13	STARD13
FRMPD4	FRMPD4
TPPP2	TPPP2
TIMM21	TIMM21
MARCHF11	MARCH11
ADARB2	ADARB2
SNORA28	SNORA28
HS6ST2	HS6ST2
TMEM179	TMEM179
MYO10	MYO10
NDC80	NDC80
ACBD7	ACBD7
P2RY4	P2RY4
ARR3	ARR3
CUBN	CUBN
CPAP	CENPJ
RAB41	RAB41
TRPC5	TRPC5
ADNP2	ADNP2
ARMC3	ARMC3
VPS4B	VPS4B
MIR147B	gga-mir-147
BLOC1S6	BLOC1S6
IL2RG	IL2RG
VSX1	VSX1
AMMECR1	AMMECR1
MAGEA1	NSMCE3
PWWP4	MUM1L1
SH2D1A	SH2D1A
DLGAP2	DLGAP2
PTPN2	PTPN2
HELZ2	HELZ2
FAM9C	SYCP3
MALRD1	MALRD1
LMX1B	LMX1B
MROH8	HRC8L
TRPM7	TRPM7
FER1L6	FER1L6
FBXL7	FBXL7
ST8SIA6	ST8SIA6
CCDC166	CCDC166
EPPK1	EPPK1
WWC3	WWC3
PTF1A	PTF1A
GNAS	GNAS
GAS1	GAS1
CDH9	CDH9
ENKUR	ENKUR
GRTP1	GRTP1
PHYHIPL	PHYHIPL
ADAMTS12	ADAMTS12
HGH1	HGH1
TCP11X1	TCP11
RBP3	RBP3
TCP11X2	TCP11
VCPIP1	VCPIP1
JCAD	KIAA1462
POLR1D	POLR1D
CFAP161	CFAP161
TRHR	TRHR
ENY2	ENY2
CHRM5	CHRM5
IER3IP1	IER3IP1
RAB3C	RAB3C
POMP	POMP
MCF2	MCF2
DSEL	DSEL
MINPP1	MINPP1
TUBB6	TUBB6
ITGA1	ITGA1
GRID1	GRID1
IPO5	IPO5
KCNK9	KCNK9
ISCA1	ISCA1
RXRA	RXRA
CYP26C1	CYP26C1
LCMT2	LCMT2
FBXL22	FBXL22
EXOC6	EXOC6
PEX11A	PEX11A
TRMT12	TRMT12
VCAN	VCAN
CAMSAP1	CAMSAP1
NKAIN3	NKAIN3
ARHGAP28	ARHGAP28
BICC1	BICC1
PTGES	PTGES
PAPPA	PAPPA
DNTT	DNTT
MIR101-2	gga-mir-101-1
SCARNA8	SCARNA8
MESP2	MESP2
MESP2	MESP1
INO80C	INO80C
MAGEB16	NSMCE3
MIR455	gga-mir-455
MIR181A2	gga-mir-181a-2
OPN1MW3	OPN1LW
MIR181B2	gga-mir-181b-2
SNORA65	SNORA65
ZC3H13	ZC3H13
ZSWIM6	ZSWIM6
MAGEB6B	NSMCE3
NXF2B	NXF1
CDK9	CDK9
EPG5	EPG5
BCL2A1	BCL2A1
NR0B1	NR0B1
CYP26A1	CYP26A1
RASL12	RASL12
RNU6-616P	U6
RNU4-53P	U4
SMIM10	SMIM10L1
NAIF1	NAIF1
CFAP58	CFAP58
PDCD7	PDCD7
RPGR	RPGR
TPT1	TPT1
MIR219B	gga-mir-219b
MAGEL2	NSMCE3
TMEM26	TMEM26
NDN	NSMCE3
SNORA84	SNORA84
HMX3	HMX3
QNG1	C9orf64
KBTBD13	KBTBD13
MIR7-1	gga-mir-7b
MIR7-1	gga-mir-7-1
PCSK6	PCSK6
MSMP	MSMP
WDR11	WDR11
TMTC4	TMTC4
MLLT3	MLLT3
CD180	CD180
RGS7BP	RGS7BP
NEDD4L	NEDD4L
CCNO	CCNO
RNU4-26P	U4
MRPL41	MRPL41
Metazoa_SRP	Metazoa_SRP
MSX1	MSX1
ZC4H2	ZC4H2
CNGB3	CNGB3
FOXI2	FOXI3
GPR26	GPR26
DMD	DMD
SLC24A4	SLC24A4
FOXQ1	FOXQ1
ADGRV1	ADGRV1
GFOD1	GFOD1
MRPL50	MRPL50
NRG3	NRG3
RBM24	RBM24
OXR1	OXR1
TMC1	TMC1
GPR158	GPR158
SOX4	SOX4
EMX2	EMX2
KIF13A	KIF13A
COX7B2	COX7B
KIAA0586	TA3
TMEM252	TMEM252
GARNL3	GARNL3
MIR146B	gga-mir-146b
NAA16	NAA16
THAP9	THAP6
SNORA74C-2	SNORA74
GK2	GK2
PLPP4	PLPP4
RASGRF1	RASGRF1
PPP2R2C	PPP2R2C
SKIDA1	SKIDA1
NPS	NPS
PRKG1	PRKG1
MEGF10	MEGF10
CHAMP1	CHAMP1
RFC3	RFC3
SLIT1	SLIT1
ADAMTS1	ADAMTS1
TACR3	TACR3
BANK1	BANK1
TMEM203	TMEM203
TDRP	TDRP
LRP12	LRP12
MKRN3	MKRN4P
MYCBP2	MYCBP2
PYGO1	PYGO1
NELFB	NELFB
ONECUT3	ONECUT3
MAFA	MAFA
S1PR4	S1PR4
GNB5	GNB5
NRARP	NRARP
SH3BGR	SH3BGR
QRFP	QRFP
PRDM12	PRDM12
TIGD5	TIGD5
GNA11	GNA11
IER5L	IER5L
TMEM67	TMEM67
EXOSC8	EXOSC8
ATP5MGL	ATP5L
EGFLAM	EGFLAM
SLC31A2	SLC31A2
CALML3	CALML3
LINGO1	LINGO1
SNORD90	SNORD90
CYP4F8	CYP4F11
PDE6C	PDE6C
HMGN1	HMGN1
SOX10	SOX10
MIR126	gga-mir-126
LGI1	LGI1
LCN15	EXFABP
ACAN	ACAN
CRYBB2	CRYBB2
ARHGEF38	ARHGEF38
C22orf39	C22orf39
RANBP1	RANBP1
SLITRK5	SLITRK5
TRAM1L1	TRAM1L1
TAL2	TAL2
PRKACG	PRKACA
UFM1	UFM1
EPB41L4A	EPB41L4A
FRMPD1	FRMPD1
HSPA14	HSPA14
SYNPO2	SYNPO2
RAB36	RAB36
CERS3	CERS3
PARP4	PARP4
ARRDC3	ARRDC3
KCNU1	KCNU1
MIR23B	gga-mir-23b
MIR27B	gga-mir-27b
RPEL1	RPEL1
NDST4	NDST4
KLHL26	KLHL26
IL9	IL9
IL2RB	IL2RB
PRR16	PRR16
VPS13B	VPS13B
PDHA2	PDHA2
LECT2	LECT2
SNORD18	SNORD18
SLC7A11	SLC7A11
MAP1B	MAP1B
TNFSF15	TNFSF15
DAAM1	DAAM1
UPB1	UPB1
CER1	CER1
AP3B2	AP3B2
LIPM	LIPML4
LIPM	LIPML5
NHLRC1	NHLRC1
MIR204	gga-mir-204-1
PGK2	PGK2
HSPA12A	HSPA12A
PKHD1	PKHD1
PFKL	PFKL
ABCA1	ABCA1
ARHGAP24	ARHGAP24
ANKRD55	ANKRD55
GSC	GSC
TSHR	TSHR
PGGT1B	PGGT1B
SYNPO2L	SYNPO2L
FUT11	FUT11
PCDH10	PCDH10
CHCHD1	CHCHD1
MEIKIN	MEIKIN
ZSWIM8	ZSWIM8
LRRTM2	LRRTM2
UBA2	UBA2
ERCC6L	ERCC6L
MINAR2	MINAR2
SLC7A1	SLC7A1
STK32A	STK32A
RNF150	RNF150
LGSN	LGSN
SDHAF4	SDHAF4
POU3F2	POU3F2
BATF	BATF
RBM46	RBM46
LSM11	LSM11
EXT1	EXT1
CD109	CD109
GRAP2	GRAP2
SLCO6A1	SLCO4C1
GPR21	GPR21
FRRS1L	FRRS1L
NKX2-8	NKX2-8
PAX9	PAX9
GLRA3	GLRA3
STK24	STK24
SNORA74C-1	SNORA74
MSMB	MSMB
ATP6V1D	ATP6V1D
SAXO1	SAXO1
SLC30A8	SLC30A8
XKRX	XKRX
GFRAL	GFRAL
HORMAD2	HORMAD2
PTCHD3	PTCHD3
CCL19	CCL19
GLRA2	GLRA2
TFAP2B	TFAP2B
HPS6	HPS6
CEL	CEL
LDB1	LDB1
COL19A1	COL19A1
GPM6B	GPM6B
ING2	ING2
PNPLA3	PNPLA3
TNFAIP8	TNFAIP8
RWDD4	RWDD4
DCSTAMP	DCSTAMP
ELOVL3	ELOVL3
KCTD16	KCTD16
MACROH2A2	MACROH2A2
TST	TST
SPMIP2	C4orf45
ARHGAP26	ARHGAP26
ELOVL4	ELOVL4
SNORD24	SNORD24
SNORD36B	SNORD36
AKAP11	AKAP11
TLL1	TLL1
STKLD1	STKLD1
CYTH4	CYTH4
FAM184A	FAM184A
CMA1	CTSG
TAF1L	TAF1
NPFFR1	NPFFR1
KCNV2	KCNV2
NRXN3	NRXN3
EPC1	EPC1
ZMYM2	ZMYM2
OC90	OC90
DOLK	DOLK
GPSM1	GPSM1
HHLA1	HHLA1
C14orf132	C14orf132
C8orf82	C2H8orf82
ADAM29	ADAM9L
CSMD1	CSMD1
RAC2	RAC2
PRSS3	PRSS2
FTMT	FTL
MXI1	MXI1
SPATA4	SPATA4
DNAJB5	DNAJB5
NKX2-5	NKX2-5
SPCS3	SPCS3
CHSY3	CHSY3
BPIFB6	BPIFB6
SOWAHA	SOWAHA
MMP11	MMP11
GLIS3	GLIS3
CPEB4	CPEB4
IFNL1	IFNL3
IFNL1	IFNL3A
GFRA4	GFRA4
ATP11C	ATP11C
HPGD	HPGD
LIN28B	LIN28B
FABP7	FABP7
SF3A1	SF3A1
TINAG	TINAG
ADAM20	ADAM20
FBP2	FBP2
FCF1	FCF1
TBX18	TBX18
SHOC1	C9orf84
RSPH6A	RSPH6A
FAM83B	FAM83B
IL4	IL4
IL4	IL13
NWD2	NWD2
ATG14	ATG14
NDUFA6	NDUFA6
CHCHD10	CHCHD10
NPY2R	NPY2R
AGBL1	AGBL1
ZFYVE26	ZFYVE26
SLC5A1	SLC5A1
TAF2	TAF2
FBXL12	FBXL12
SNORA75B	SNORA75
TMEM174	TMEM174
SNORD123	SNORD123
SNORD81	SNORD81
SNORA24	SNORA24
HECTD2	HECTD2
GNB1L	GNB1L
TERB2	TERB2
SNORD39	SNORD39
TUSC1	TUSC1
RNU1-51P	U1
EXD1	EXD1
RASL11B	RASL11B
KLF9	KLF9
ADAD1	ADAD1
PFN3	PFN3
LRRC14B	LRRC14B
BCL2L10	BCL2L10
IFNB1	IFNKL1
IFNB1	IFNA3
