Gene.name	Human.gene.name
	ZNF840P
RNF215	RNF215
CCDC157	CCDC157
SF3A1	SF3A1
TBC1D10A	TBC1D10A
GATSL3	CASTOR1
MYBPC2	MYBPC2
LIF	LIF
FUZ	FUZ
	FCAR
	LILRA2
	LILRA5
	LILRB2
	LILRB1
	GP6
	NCR1
	LILRA4
	LAIR2
	VSTM1
	LILRA1
	LILRB4
	LILRB3
	LILRA6
	LILRB5
	GAPDHS
TMEM147	TMEM147
HORMAD2	HORMAD2
	ZNF672
	EIF5AL1
	EIF5A
HNRNPKL	HNRNPK
MTMR3	MTMR3
gga-mir-7b	MIR7-1
GPS2	GPS2
RTN4R	RTN4R
	NPHS1
	GTF2H4
OSBP2	OSBP2
CHIR-AB-487	FCAR
CHIR-AB-487	LILRA2
CHIR-AB-487	LILRA5
CHIR-AB-487	LILRB2
CHIR-AB-487	LILRB1
CHIR-AB-487	GP6
CHIR-AB-487	NCR1
CHIR-AB-487	LILRA4
CHIR-AB-487	LAIR2
CHIR-AB-487	VSTM1
CHIR-AB-487	LILRA1
CHIR-AB-487	LILRB4
CHIR-AB-487	LILRB3
CHIR-AB-487	LILRA6
CHIR-AB-487	LILRB5
MYLPF	MYL11
TCN2	TCN2
IQCD	IQCD
VARS2	VARS2
QPRT	QPRT
ABHD16A	ABHD16A
DUSP21	DUSP21
SLC35E4	SLC35E4
UQCR10	UQCR10
	PPP1R18
	DENND4B
ZMAT5	ZMAT5
CABP7	CABP7
AP1B1	AP1B1
	GAS2L1
NAA10	NAA10
EWSR1	EWSR1
CHIR-IG1-5	FCAR
CHIR-IG1-5	LILRA2
CHIR-IG1-5	LILRA5
CHIR-IG1-5	LILRB2
CHIR-IG1-5	LILRB1
CHIR-IG1-5	GP6
CHIR-IG1-5	NCR1
CHIR-IG1-5	LILRA4
CHIR-IG1-5	LAIR2
CHIR-IG1-5	VSTM1
CHIR-IG1-5	LILRA1
CHIR-IG1-5	LILRB4
CHIR-IG1-5	LILRB3
CHIR-IG1-5	LILRA6
CHIR-IG1-5	LILRB5
	CHD8
NDUFB11	NDUFB11
	DDR1
	ERF
EMID1	EMID1
HSD17B10	HSD17B10
ASCC2	ASCC2
	SNRPA
	ETV3L
	SUPT16H
DTX1	DTX1
PFKFB1	PFKFB1
	SNORD8
	SNORD9
RASAL1	RASAL1
NSMCE3	MAGEB2
NSMCE3	MAGEA1
NSMCE3	MAGEF1
NSMCE3	MAGEB18
NSMCE3	MAGEA10
NSMCE3	MAGEA11
NSMCE3	MAGEB10
NSMCE3	MAGEB17
NSMCE3	MAGEL2
NSMCE3	MAGEB6
NSMCE3	MAGEB6B
NSMCE3	MAGED2
NSMCE3	MAGEB1
NSMCE3	MAGED1
NSMCE3	MAGED4
NSMCE3	MAGED4B
NSMCE3	MAGEA9
NSMCE3	MAGEA9B
NSMCE3	MAGEA8
NSMCE3	MAGEH1
NSMCE3	NDN
NSMCE3	MAGEB3
NSMCE3	MAGEA12
NSMCE3	MAGEA2B
NSMCE3	MAGEA2
NSMCE3	MAGEB16
NSMCE3	MAGEB4
NSMCE3	MAGEE1
NSMCE3	TRO
NSMCE3	MAGEA4
NSMCE3	MAGEA6
NSMCE3	MAGEA3
NSMCE3	MAGEE2
NSMCE3	MAGEC2
NSMCE3	MAGEC1
NSMCE3	MAGEB5
NSMCE3	MAGEC3
WSB2	WSB2
RFC5	RFC5
ITIH6	ITIH6
CARD8	CARD8
GNL3L	GNL3L
AIFM3	AIFM3
	HUWE1
TP53	TP53
P2RX6	P2RX6
C14ORF166B	LRRC74B
SLC7A4	SLC7A4
DGCR6	DGCR6L
DGCR6	DGCR6
TBX3	TBX3
RBM19	RBM19
LHX5	LHX5
SDSL	SDSL
PLBD2	PLBD2
SLC8B1	SLC8B1
ACHE	ACHE
CATSPER4	TPCN1
FBXO21	FBXO21
RNASEK	RNASEK
TESC	TESC
	SLC2A4
FBXW8	FBXW8
WRAP53	WRAP53
RNFT2	RNFT2
	ALDOA
C12orf49	SPRING1
MED13L	MED13L
FRMD8	FRMD8
SCYL1	SCYL1
TRPT1	TRPT1
FERMT3	FERMT3
POLD1	POLD1
STIP1	STIP1
JPH2	JPH2
FLRT1	FLRT1
OTUB1	OTUB1
NAA40	NAA40
SIPA1	SIPA1
ASPDH	ASPDH
SNORD125	SNORD125
SEC14L3	SEC14L2
NOS1	NOS1
	CCDC87
SSSCA1	ZNRD2
	SYT3
RBM4	RBM4
CCS	CCS
RBM14	RBM14
SPTBN2	SPTBN2
DNAH5	DNAH5
SBK2	SBK2
CCT5	CCT5
FAM173B	ATPSCKMT
	DNAJC14
MYO10	MYO10
CDH9	CDH9
FAM134B	RETREG1
ZNF622	ZNF622
MARCH11	MARCHF11
UBE2QL1	UBE2QL1
C7orf57	C7orf57
LIN37	LIN37
KAT8	KAT8
PSENEN	PSENEN
UPP1	UPP1
LIPE	LIPE
ABCA13	ABCA13
VWC2	VWC2
	MAPK7
	TOMM40
ZNF646	ZNF646
SCN1B	SCN1B
	PRSS53
ZPBP1	ZPBP
VKORC1	VKORC1
C7orf72	SPMIP7
PAPD7	TENT4A
BCKDK	BCKDK
MYO7L2	MYH7
SRD5A1	SRD5A1
NSUN2	NSUN2
	SUN5
	TACO1
GRB10	GRB10
COBL	COBL
	SLC5A2
IKZF1	IKZF1
FIGNL1	FIGNL1
DDC	DDC
ZNF624	ZNF672
SPRY2	SPRY2
FBXL7	FBXL7
PCDH20	PCDH20
NDFIP2	NDFIP2
EEF1G	EEF1G
RBM26	RBM26
ANKH	ANKH
RNF219	OBI1
POU4F1	POU4F1
FAM105B	OTULIN
EDNRB	EDNRB
INTS5	INTS5
SLAIN1	SLAIN1
FAM105A	OTULINL
TRIO	TRIO
SCEL	SCEL
CDH10	CDH10
	PODXL2
MYCBP2	MYCBP2
DAP	DAP
FBXL3	FBXL3
CLN5	CLN5
ANKRD33B	ANKRD33B
SNRNP48	SNRNP48
ROPN1L	ROPN1L
MARCH6	MARCHF6
ACOD1	ACOD1
	CMBL
	KCTD12
KCTD12	KCTD12
CMBL	CMBL
	CTNND2
LMO7	LMO7
SEMA5A	SEMA5A
MTRR	MTRR
FASTKD3	FASTKD3
C5orf49	CFAP90
	KLK12
	KLK11
ADCY2	ADCY2
UCHL3	UCHL3
COMMD6	COMMD6
CDH18	CDH18
	FBLL1
TBC1D4	TBC1D4
	COX6B2
KLF12	KLF12
KLF5	KLF5
	FCGBP
BASP1	BASP1
PIBF1	PIBF1
DIS3	DIS3
	RTL9
BORA	BORA
MZT1	MZT1
DACH1	DACH1
KLHL1	KLHL1
PCDH9	PCDH9
SNORD123	SNORD123
SLC33A1	SLC33A1
C3orf33	C3orf33
P2RY1	P2RY1
MBNL1	MBNL1
SUCNR1	SUCNR1
TSC22D2	TSC22D2
IGSF10	IGSF10
MED12L	MED12L
PFN2	PFN2
RNF13	RNF13
P2RY13	P2RY13
P2RY12	P2RY12
COMMD2	COMMD2
GPR87	GPR87
WWTR1	WWTR1
P2RY14	P2RY14
CP	CP
GPR171	GPR171
CLRN1	CLRN1
FAM188B2	MINDY4B
SIAH2	SIAH2
ERICH6	ERICH6
TM4SF4	TM4SF4
	GPR119
HPS3	HPS3
SELENOT	SELENOT
EIF2A	EIF2A
TUBA3E	TUBA3D
TUBA3E	TUBA3E
TUBA3E	TUBA3C
GYG1	GYG1
SERP1	SERP1
OTOL1	OTOL1
SPTSSB	SPTSSB
	ADCY10
NMD3	NMD3
MTAP	MTAP
PPM1L	PPM1L
CDKN2B	CDKN2A
TRIM36	TRIM36
FAM69C	DIPK1C
PGGT1B	PGGT1B
C18orf63	C18orf63
CIDEA	CIDEA
CCDC112	CCDC112
FEM1C	FEM1C
TSHZ1	TSHZ1
ZADH2	PTGR3
CYB5A	CYB5A
ALDH7A1	ALDH7A1
TIMM21	TIMM21
FRMPD1	FRMPD1
RTTN	RTTN
TRMT10B	TRMT10B
B3GALNT1	B3GALNT1
CD226	CD226
ARL14	ARL14
KPNA4	KPNA4
TRIM59	TRIM59
SMC4	SMC4
DOK6	DOK6
DCAF10	DCAF10
POLR1E	POLR1E
TMEM200C	TMEM200C
IFT80	IFT80
IL12A	IL12A
SEH1L	SEH1L
ZBTB5	ZBTB5
GRHPR	GRHPR
SPIRE1	SPIRE1
MFSD1	MFSD1
ZCCHC7	ZCCHC7
RARRES1	RARRES1
PTPN2	PTPN2
	GCFC2
GFM1	GFM1
PSMG2	PSMG2
LXN	LXN
TOMM5	TOMM5
PRELID3A	PRELID3A
POT1	POT1
ZNF608	ZNF608
LSMEM1	LSMEM1
CEP76	CEP76
IFRD1	IFRD1
AFG3L2	AFG3L2
CTTNBP2	CTTNBP2
TUBB6	TUBB6
CFTR	CFTR
TMX3	TMX3
SNX2	SNX2
CEP192	CEP192
RSRC1	RSRC1
ASZ1	ASZ1
MOV10L1	MOV10L1
CDH7	CDH7
PANX2	PANX2
PAX5	PAX5
PPIC	PPIC
TES	TES
PRDM6	PRDM6
SHOX2	SHOX2
TFEC	TFEC
PLXNB2	PLXNB2
GRAMD3	GRAMD2B
ZNF800	ZNF800
GRM8	GRM8
DNAJB9	DNAJB9
SOCS6	SOCS6
VEPH1	VEPH1
THAP5	THAP5
ZNF407	ZNF407
PTX3	PTX3
CNDP1	CNDP1
TSPAN12	TSPAN12
CNDP2	CNDP2
AASS	AASS
CCDC102B	CCDC102B
MELK	MELK
GOLIM4	GOLIM4
SERPINI1	SERPINI1
PTPRZ1	PTPRZ1
PDCD10	PDCD10
ZNF277	ZNF277
SNCAIP	SNCAIP
NETO1	NETO1
	ERV3-1
	CCNQ
FAM3C	FAM3C
OPN1LW	OPN1LW
OPN1LW	OPN1MW2
OPN1LW	OPN1MW3
OPN1LW	OPN1MW
BCHE	BCHE
CBLN2	CBLN2
DRAP1	DRAP1
SI	MGAM2
SI	MGAM
DLGAP1	DLGAP1
	RELA
LPIN2	LPIN2
LRRN3	LRRN3
	KAT5
SRFBP1	SRFBP1
PLPP4	PLPP4
TGIF1	TGIF1
	STX4
LOX	LOX
NXF1	NXF2B
NXF1	NXF1
NXF1	NXF3
NXF1	NXF2
DOCK4	DOCK4
MRPL49	MRPL49
GMPS	GMPS
SYVN1	SYVN1
WNT16	WNT16
CEP120	CEP120
CALU	CALU
MGMT	MGMT
EMILIN2	EMILIN2
CPED1	CPED1
PLCH1	PLCH1
EBF3	EBF3
C7orf31	SPMIP4
MYOM1	MYOM1
NPVF	NPVF
ING3	ING3
SPDYC	SPDYC
CAPN1	CAPN1
GLRX3	GLRX3
TCERG1L	TCERG1L
HIBADH	HIBADH
SMCHD1	SMCHD1
WIPF3	WIPF3
PPP2R2D	PPP2R2D
	NFKBID
IMPA2	IMPA2
POLA2	POLA2
SCRN1	SCRN1
MDFIC	MDFIC
BNIP3	BNIP3
MME	MME
FKBP14	FKBP14
MPPE1	MPPE1
U2	RNU2-63P
U2	RNU2-21P
gga-mir-31	MIR31
GNAL	GNAL
KLHL7	KLHL7
WDR11	WDR11
SNX24	SNX24
NUP42	NUP42
NUP42L4	NUP42
EML3	EML3
FOXP2	FOXP2
GPNMB	GPNMB
MC2R	MC2R
FGFR2	FGFR2
CCDC126	CCDC126
MC5R	MC5R
AP4M1	AP4M1
RNMT	RNMT
KCND2	KCND2
FAM221A	FAM221A
AP1S1	AP1S1
FAM210A	FAM210A
ATE1	ATE1
ASB11	ASB11
	MOGAT3
NSMCE4A	NSMCE4A
CDCA7L	CDCA7L
HMGCLL1	HMGCLL1
LDLRAD4	LDLRAD4
ANKRD26	ANKRD26
ANKRD26	ANKRD18B
ANKRD26	ANKRD30BL
ANKRD26	ANKRD30B
ANKRD26	ANKRD30A
ANKRD26	ANKRD20A1
ANKRD26	ANKRD18A
GFRAL	GFRAL
GPR37	GPR37
GPR149	GPR149
HCRTR2	HCRTR2
TAX1BP1	TAX1BP1
VEGFD	VEGFD
LSM8	LSM8
NDC80	NDC80
JAZF1	JAZF1
MALSU1	MALSU1
ASB9	ASB9
DHX36	DHX36
DSEL	DSEL
TACC2	TACC2
PRKX	PRKX
ANOS1	ANOS1
ARHGEF26	ARHGEF26
GPR85	GPR85
BMP5	BMP5
BMT2	SAMTOR
IGF2BP3	IGF2BP3
NLGN4	NLGN4X
NLGN4	NLGN4Y
TMEM168	TMEM168
JAKMIP3	JAKMIP3
TRA2A	TRA2A
	NOTCH2NLC
	NOTCH2NLA
	NOTCH2NLB
	NOTCH2NLR
BMX	BMX
WNT2	WNT2
CDH19	CDH19
GRPR	GRPR
PHF3	PHF3
CCNL1	CCNL1
PTP4A1	PTP4A1
LEKR1	LEKR1
TIPARP	TIPARP
CAPZA2	CAPZA2
LGSN	LGSN
RBMS3	RBMS3
SSR3	SSR3
DPYSL4	DPYSL4
METTL4	METTL4
CD109	CD109
AP1S2	AP1S2
PLCL2	PLCL2
ZRSR2	ZRSR2
MET	MET
TMEM27	CLTRN
CAV2	CAV2
SLC17A5	SLC17A5
KCNAB1	KCNAB1
TBC1D5	TBC1D5
ACE2	ACE2
EEF1A1	EEF1A1
PPP1R3A	PPP1R3A
STK32C	STK32C
NR1D2	NR1D2
SLITRK3	SLITRK3
RAP2B	RAP2B
ASMT	ASMT
TRABD	TRABD
MTO1	MTO1
SELENOO	SELENOO
CGAS	CGAS
PWWP2B	PWWP2B
AKAP17A	AKAP17A
FHIP1B	FHIP1B
TUBGCP6	TUBGCP6
CNGA4	CNGA4
EPB41L3	EPB41L3
THRB	THRB
CCKBR	CCKBR
HDAC10	HDAC10
	LGALS3BP
	CD163L1
INPP5A	INPP5A
SMPD1	SMPD1
NKX6-2	NKX6-2
CHN2	CHN2
ZBTB14	ZBTB14
EVX1	EVX1
AKAIN1	AKAIN1
TBLX1	TBL1Y
TBLX1	TBL1X
APBB1	APBB1
PIGA	PIGA
MAPK12	MAPK12
HPX	HPX
TRIM3	TRIM3
MOSPD2	MOSPD2
DLGAP2	DLGAP2
ARFIP2	ARFIP2
MAPK11	MAPK11
FANCB	FANCB
B3GAT2	B3GAT2
TIMM10B	TIMM10B
	HSD17B8
UBE2E2	UBE2E2
RPS11	RPS11
GLRA2	GLRA2
SMAP1	SMAP1
TCTN3	TCTN3
SPAM1	SPAM1
PIEZO2	PIEZO2
UBE2E1	UBE2E1
SHOX	SHOX
SDHAF4	SDHAF4
SYAP1	SYAP1
SCARNA7	SCARNA7
NAPG	NAPG
gga-mir-16-2	MIR16-2
WASL	WASL
gga-mir-15b	MIR15B
	RING1
ILK	ILK
CTPS2	CTPS2
ALDH18A1	ALDH18A1
NKIRAS1	NKIRAS1
LMOD2	LMOD2
FAM135A	FAM135A
TAF10	TAF10
RPL15	RPL15
ASB15	ASB15
NDUFA5	NDUFA5
PLEKHA1	PLEKHA1
HTRA1	HTRA1
IQUB	IQUB
DMBT1	DMBT1
AADAC	AADAC
LCMT2	LCMT2
CREB5	CREB5
PNPLA4	PNPLA4
SLC13A1	SLC13A1
TRIL	TRIL
STARD10	STARD10
TM4SF1	TM4SF1
MTA2	MTA2
COL9A1	COL9A1
STS	STS
MOG	MOG
	PRSS41
	PRSS21
PUDP	PUDP
SATB1	SATB1
CADPS2	CADPS2
KCNH8	KCNH8
VAPA	VAPA
EFHB	EFHB
ARRB1	ARRB1
PNPLA8	PNPLA8
APCDD1	APCDD1
CUZD1	CUZD1
COL19A1	COL19A1
C10orf88	C10orf88
RAB5A	RAB5A
ELOB	ELOB
ADAM9L	ADAM18
ADAM9L	ADAM7
ADAM9L	ADAM21
ADAM9L	ADAM30
ADAM9L	ADAM29
ADAM9L	ADAMDEC1
ADAM9L	ADAM2
	SRRM2
PP2D1	PP2D1
WDR73	WDR73
NRCAM	NRCAM
LMBRD1	LMBRD1
KAT2B	KAT2B
	MFAP4
SGO1	SGO1
CNTN1	CNTN1
P2RY8	P2RY8
HOXA1	HOXA1
IKZF5	IKZF5
	RNF151
SLCO2B1	SLCO2B1
PSTK	PSTK
HOXA3	HOXA3
PPP4R1	PPP4R1
	TBC1D10B
ASMTL	ASMTL
HOXA4	HOXA4
ACADSB	ACADSB
HOXA5	HOXA5
HMX3	HMX3
ADGRB3	ADGRB3
HOXA6	HOXA6
PGM2L1	PGM2L1
HMX2	HMX2
KCNE3	KCNE3
RALBP1	RALBP1
LIPT2	LIPT2
HOXA7	HOXA7
PDZRN4	PDZRN4
CSF2RA	CSF2RA
BUB3	BUB3
ZCRB1	ZCRB1
MECP2	MECP2
TWSG1	TWSG1
TAB3	TAB3
PPHLN1	PPHLN1
	CSF2RA
GPR26	GPR26
PRICKLE1	PRICKLE1
HOXA10	HOXA10
ANKRD12	ANKRD12
HOXA11	HOXA11
NDUFV2	NDUFV2
MYOM2	MYOM2
CPXM2	CPXM2
FTSJ1	FTSJ1
CHRDL2	CHRDL2
CHST15	CHST15
HNRNPA2B1	HNRNPA2B1
ADAMTS20	ADAMTS20
RNF169	RNF169
CBX3	CBX3
XRRA1	XRRA1
	CD2BP2
CYBB	CYBB
PUS7L	PUS7L
GPKOW	GPKOW
CRLF2	CRLF2
PLP2	PLP2
	THOC6
OAT	OAT
XK	XK
IRAK4	IRAK4
MTCL1	MTCL1
KBTBD11	KBTBD11
SMPX	SMPX
NEU3	NEU3
SNX10	SNX10
KLHL34	KLHL34
RAB12	RAB12
P4HA3	P4HA3
ARHGEF10	ARHGEF10
TLR7	TLR7
LHPP	LHPP
TWF1	TWF1
PRPS2	PRPS2
WDR45	WDR45
NARS2	NARS2
SKAP2	SKAP2
FAM83B	FAM83B
FAM53B	FAM53B
USP35	USP35
TMEM117	TMEM117
	ZNF775
METTL10	EEF1AKMT2
FEZF1	FEZF1
CNKSR2	CNKSR2
RAPGEF5	RAPGEF5
FRMPD4	FRMPD4
KCTD21	KCTD21
POLR2I	POLR2I
ABRAXAS2	ABRAXAS2
ALG8	ALG8
PTPRM	PTPRM
IL6	IL6
TINAG	TINAG
EMX2	EMX2
OR14J1L16	OR14I1
OR14J1L16	OR14A16
OR14J1L16	OR14A2
OR14J1L16	OR14L1
OR14J1L16	OR14J1
OR14J1L16	OR14K1
MSL3	MSL3
MSL3	MSL3B
NDUFC2	NDUFC2
RAB11FIP2	RAB11FIP2
ARHGAP6	ARHGAP6
LAMA1	LAMA1
PLEKHA8	PLEKHA8
MLIP	MLIP
FAM204A	FAM204A
THRSP	THRSP
DMD	DMD
KCTD14	KCTD14
TOMM7	TOMM7
LRRC1	LRRC1
INTS4	INTS4
COLQ	COLQ
MID1	MID1
ARHGAP28	ARHGAP28
CLCN4	CLCN4
KLHL31	KLHL31
WWC3	WWC3
AAMDC	AAMDC
GCLC	GCLC
FAM126A	HYCC1
RSF1	RSF1
	ZNF594
	ZNF420
CLNS1A	CLNS1A
NEURL4	NEURL4
ARX	ARX
HACL1	HACL1
POLA1	POLA1
OZFL1	ZNF672
AQP11	AQP11
PCYT1B	PCYT1B
	ADAT3
BTD	BTD
PAK1	PAK1
GDPD4	GDPD4
MGAM	MGAM2
MGAM	MGAM
ANKRD28	ANKRD28
ELOVL5	ELOVL5
ACAP1	ACAP1
PDK3	PDK3
MYO7A	MYO7A
CLDN34	CLDN34
SLC16A13	SLC16A13
CACUL1	CACUL1
POLR2A	POLR2A
EIF3A	EIF3A
GALNT15	GALNT15
OMP	CAPN5
CDKL5	CDKL5
GCM1	GCM1
FBXO9	FBXO9
FIS1	FIS1
ICK	CILK1
SHROOM2	SHROOM2
GSTA2	GSTA5
GSTA2	GSTA4
GSTA2	GSTA1
GSTA2	GSTA2
GSTA2	GSTM5
GSTA2	GSTM2
GSTA2	GSTA3
SFXN4	SFXN4
GPR143	GPR143
ACER3	ACER3
YLEC18	KLRC4
YLEC18	OLR1
YLEC18	CLEC2B
YLEC18	KLRC3
YLEC18	KLRC2
YLEC18	CLEC2A
YLEC18	CLEC1A
YLEC18	KLRF2
YLEC18	KLRC1
YLEC18	KLRD1
YLEC18	CLEC1B
YLEC18	CLEC12B
YLEC18	KLRG2
PRDX3	PRDX3
OXNAD1	OXNAD1
TMEM14A	TMEM14A
MXRA5	MXRA5
AGPAT5	AGPAT5
ARSH	ARSD
RFTN1	RFTN1
GRK5	GRK5
GK2	GK2
GK2	GK3
GK2	GK
	ARSD
CXorf21	TASL
NR0B1	NR0B1
MCPH1	MCPH1
IMMP2L	IMMP2L
IL1RAPL1	IL1RAPL1
RGS10	RGS10
ST7	ST7
TGFBR2	TGFBR2
TSKU	TSKU
CAV1	CAV1
ANGPT2	ANGPT2
RNASEH1	RNASEH1
GYG2	GYG2
DAZL	DAZ1
DAZL	DAZL
DAZL	DAZ2
DAZL	DAZ3
DAZL	DAZ4
YAF2	YAF2
TPO	TPO
OR14J1L67	OR14I1
OR14J1L67	OR14A16
OR14J1L67	OR14A2
OR14J1L67	OR14L1
OR14J1L67	OR14J1
OR14J1L67	OR14K1
	HLA-G
	HLA-B
	HLA-F
	HLA-C
	HLA-E
	HLA-A
GXYLT1	GXYLT1
GADL1	GADL1
PRRG1	PRRG1
	EMSY
SNTG2	SNTG2
STT3B	STT3B
KHDRBS2	KHDRBS2
MHCYL	AZGP1
MHCYL	FCGRT
OSBPL10	OSBPL10
TMEM47	TMEM47
PRIM2	PRIM2
CD99	CD99
ZNFY4	ZNF672
RAB23	RAB23
FAM49A	CYRIA
BAG2	BAG2
GPD1L	GPD1L
SCML2	SCML2
FBXO15	FBXO15
ZNF451	ZNF451
THAP12	THAP12
ZBED1	ZBED1
BEND6	BEND6
MYL12B	MYL12B
CMTM8	CMTM8
UFM1	UFM1
WNT11	WNT11
RAB31	RAB31
FREM2	FREM2
CMTM6	CMTM6
DHRSX	DHRSX
TRPC4	TRPC4
	VDAC3
VSNL1	VSNL1
RAI2	RAI2
STK31	STK31
UVRAG	UVRAG
GEMIN8	GEMIN8
BEND2	BEND2
BAG3	BAG3
SMC6	SMC6
POSTN	POSTN
DST	DST
NPY	NPY
GEN1	GEN1
ART1A	ART1
NHS	NHS
CMPK2	CMPK2
TDRD3	TDRD3
ART1D	ART1
INPP5F	INPP5F
MPP6	PALS2
MCMBP	MCMBP
COL21A1	COL21A1
MYT1L	MYT1L
REPS2	REPS2
DFNA5	GSDME
GPM6B	GPM6B
CLN8	CLN8
SEC23IP	SEC23IP
CSMD1	CSMD1
RBBP7	RBBP7
ZRANB1	ZRANB1
TXLNG	TXLNG
ZNFY3	ZNF672
OSBPL3	OSBPL3
KCNQ5	KCNQ5
DIAPH3	DIAPH3
OFD1	OFD1
CYCS	CYCS
RNF175	RNF121
XNDC1N	XNDC1N
TSSC1	EIPR1
MHCY4	AZGP1
MHCY4	FCGRT
PCDH17	PCDH17
SH3BGRL2	SH3BGRL2
YLEC17	KLRC4
YLEC17	OLR1
YLEC17	CLEC2B
YLEC17	KLRC3
YLEC17	KLRC2
YLEC17	CLEC2A
YLEC17	CLEC1A
YLEC17	KLRF2
YLEC17	KLRC1
YLEC17	KLRD1
YLEC17	CLEC1B
YLEC17	CLEC12B
YLEC17	KLRG2
CTBP2	CTBP2
TMEM272	TMEM272
NIPA1	NIPA1
TRAPPC12	TRAPPC12
CASK	CASK
FDX2	FDX2
TEX36	TEX36
CYB5R4	CYB5R4
IBSP	DMP1
YLEC13	KLRC4
YLEC13	OLR1
YLEC13	CLEC2B
YLEC13	KLRC3
YLEC13	KLRC2
YLEC13	CLEC2A
YLEC13	CLEC1A
YLEC13	KLRF2
YLEC13	KLRC1
YLEC13	KLRD1
YLEC13	CLEC1B
YLEC13	CLEC12B
YLEC13	KLRG2
NUMA1	NUMA1
BCKDHB	BCKDHB
RAVER1	RAVER1
GRHL1	GRHL1
GPR34	GPR34
ATP7B	ATP7B
TTK	TTK
RARB	RARB
GPR82	GPR82
LRRC51	LRRC51
USO1	USO1
TYK2	TYK2
KLF11	KLF11
EDRF1	EDRF1
RIMS1	RIMS1
YLEC12	KLRC4
YLEC12	OLR1
YLEC12	CLEC2B
YLEC12	KLRC3
YLEC12	KLRC2
YLEC12	CLEC2A
YLEC12	CLEC1A
YLEC12	KLRF2
YLEC12	KLRC1
YLEC12	KLRD1
YLEC12	CLEC1B
YLEC12	CLEC12B
YLEC12	KLRG2
RAB9A	RAB9A
ALG11	ALG11
TOP2B	TOP2B
NEK5	NEK5
NYX	NYX
ELOVL4	ELOVL4
G3BP2	G3BP2
LAMTOR1	LAMTOR1
LRTOMT	TOMT
RRM2	RRM2
ASRGL1	ASRGL1
NGLY1	NGLY1
FOLR3	FOLR3
FOLR3	FOLR1
FOLR3	IZUMO1R
FOLR3	FOLR2
UROS	UROS
NEK3	NEK3
MEPE	MEPE
OXSM	OXSM
OGFRL1	OGFRL1
CDC37	CDC37
HPCAL1	HPCAL1
DDX3X	DDX3X
DDX3X	DDX3Y
MBOAT4	MBOAT4
PPME1	PPME1
CKAP2	CKAP2
COQ2	COQ2
BCCIP	BCCIP
RPL8	RPL8
DHX32	DHX32
OSR1	OSR1
TCEANC	TCEANC
USP9Y	USP9X
USP9Y	USP9Y
C2CD3	C2CD3
VPS36	VPS36
DAXX	DAXX
MAST1	MAST1
TTC32	TTC32
HPSE	HPSE
DNAJB13	DNAJB13
ZBTB22	ZBTB22
LRRC3B	LRRC3B
MED14	MED14
LPAR2	LPAR2
RGL2	RGL2
SNAP91	SNAP91
UCP3	UCP3
THSD1	THSD1
ATP6AP2	ATP6AP2
PBX4	PBX4
WDR35	WDR35
EGFL6	EGFL6
	MOG
NEK10	NEK10
PAAF1	PAAF1
TMSB4X	TMSB4X
COA4	COA4
GTPBP6	GTPBP6
ADAM12	ADAM12
BCOR	BCOR
MVB12A	MVB12A
BGV	MOG
HELQ	HELQ
MRPL48	MRPL48
MATN3	MATN3
ATP13A1	ATP13A1
C10orf90	C10orf90
GPR63	GPR63
DOCK1	DOCK1
FAM175A	ABRAXAS1
